City,Start_Lat,Start_Lon,End_Lat,End_Lon,Route_Length_km,Road_Type,Accident_Count,Incident_Severity,Weather_Risk,Crowd_Level,Risk_Score
Dehradun,30.276804,78.01611,30.349052,78.083128,10.292,City,0,0,0.511,0.491,0.252
Dehradun,30.316261,78.132789,30.278343,77.993531,14.019,City,2,2,0.192,0.736,0.305
Dehradun,30.224338,78.065737,30.303631,78.043338,9.076,Rural,2,2,0.414,0.524,0.329
Dehradun,30.311194,78.037951,30.305728,78.018689,1.946,Rural,1,1,0.082,0.24,0.123
Dehradun,30.3363,78.000871,30.229069,77.991524,11.957,Rural,0,0,0.293,0.267,0.141
Dehradun,30.276257,78.035606,30.337877,78.105344,9.58,Hilly,0,0,0.282,0.417,0.168
Dehradun,30.291677,78.064348,30.301912,78.022347,4.19,Highway,3,1,0.093,0.879,0.354
Dehradun,30.260483,78.000736,30.394219,78.035495,15.24,City,1,1,0.232,0.433,0.206
Dehradun,30.290531,78.04253,30.291246,78.085479,4.124,City,5,2,0.127,0.373,0.363
Dehradun,30.325701,78.03555,30.308803,78.056513,2.753,City,4,3,0.464,0.396,0.418
Dehradun,30.299217,77.958353,30.378545,77.988315,9.278,City,4,4,0.196,0.26,0.311
Dehradun,30.304425,77.999626,30.338553,78.009318,3.907,Hilly,7,8,0.039,0.359,0.433
Dehradun,30.314938,77.993124,30.329161,78.035293,4.346,Rural,7,2,0.433,0.461,0.572
Dehradun,30.300969,77.967713,30.334974,78.072055,10.705,City,2,0,0.28,0.281,0.24
Dehradun,30.394539,78.005348,30.265816,78.119422,18.02,Hilly,0,0,0.636,0.591,0.309
Dehradun,30.307225,78.024938,30.377864,77.98075,8.926,Hilly,0,0,0.528,0.714,0.301
Dehradun,30.310829,78.035018,30.310954,78.029895,0.492,City,2,2,0.225,0.829,0.333
Dehradun,30.321359,78.004511,30.314853,78.021861,1.816,Hilly,2,1,0.508,0.362,0.325
Dehradun,30.322904,78.049599,30.29553,78.03582,3.319,Hilly,2,1,0.305,0.398,0.271
Dehradun,30.308329,78.021515,30.317885,78.044656,2.462,Hilly,3,1,0.222,0.6,0.336
Dehradun,30.298496,78.013342,30.322403,78.040538,3.726,Highway,2,1,0.059,0.31,0.18
Dehradun,30.352808,77.953659,30.295625,78.048538,11.107,Highway,3,0,0.237,0.446,0.31
Dehradun,30.264321,77.9679,30.314964,78.054751,10.062,City,2,1,0.068,0.568,0.234
Dehradun,30.333908,78.042168,30.329034,78.035005,0.875,Highway,3,1,0.231,0.594,0.338
Dehradun,30.26825,78.027118,30.253009,78.002533,2.906,City,0,0,0.199,0.637,0.187
Dehradun,30.2987,78.06033,30.274771,78.049438,2.859,Hilly,0,0,0.26,0.763,0.231
Dehradun,30.334228,78.042023,30.372083,78.038146,4.226,City,4,3,0.594,0.548,0.488
Dehradun,30.382073,78.089473,30.342453,78.007685,8.999,Rural,4,4,0.602,0.489,0.478
Dehradun,30.33273,78.020623,30.33229,77.95776,6.033,Rural,2,2,0.29,0.521,0.291
Dehradun,30.308288,78.037018,30.306341,78.0408,0.423,Highway,5,2,0.265,0.447,0.419
